text,label
"Angka perceraian dini di Blitar meningkat tajam sepanjang 2022. Jumlahnya naik hampir 2 kali lipat lebih jika dibandingkan dengan 2021.Data Pengadilan Agama (PA) Kelas I A Blitar sejak Januari-akhir Desember 2022 tercatat sebanyak 37 pasutri di bawah usia 19 tahun yang memutuskan bercerai.Angka tersebut naik hampir 2 kali lipat jika dibandingkan 2021 lalu yang hanya 17 kasus perceraian.
    
  
        
  ""Tahun ini perceraian pasutri di bawah usia 19 tahun ada 37 kasus. Rinciannya, 25 gugat cerai dan 12 permohonan talak cerai,"" ungkap Juru Bicara Pengadilan Agama kelas 1 A Blitar Edi Marsis, Sabtu (31/12/2022).Edi menambahkan, kasus perceraian pasutri di bawah umur cenderung naik dari tahun ke tahun. Dalam catatan PA Kelas 1A Blitar, pada 2019 ada 35 kasus, tahun 2020 ada 31 kasus. Kemudian sempat turun pada 2021 lalu hanya 17 kasus dan kembali meningkat tahun ini.Pada kasus perceraian pasangan di bawah 19 tahun, rata-rata pihak istri yang mengajukan gugatan cerai kepada suaminya.Faktor ekonomi menjadi faktor yang mendominasi pasangan di bawah usia 19 tahun berpisah selain faktor belum stabilnya kedewasaan masing-masing pihak sebagai suami istri.Tingginya angka perceraian dini ini berbanding lurus dengan tingginya angka dispensasi pernikahan.Pada tahun 2021 lalu, PA Kelas 1A Blitar telah memberikan dispensasi kawin sebanyak 586 pasangan. Sedangkan pada 2022 ini ada 489 pasangan di bawah usia 19 tahun yang mengajukan dispensasi menikah.Fakta ini memaparkan bahwa revisi UU Perkawinan 1/1974 menjadi UU 16/2019 mengenai penambahan batas minimal usia perkawinan anak perempuan dari 16 tahun menjadi 19 tahun tidak efektif.Padahal, pertimbangan UU Nomor 16 tahun 2019 terkait kenaikan batas umur yang lebih tinggi dari 16 tahun bagi wanita untuk kawin yakni perkawinan pada usia anak menimbulkan dampak negatif bagi tumbuh kembang anak.Tidak hanya itu, pernikahan akan menyebabkan tidak terpenuhinya hak dasar anak seperti hak perlindungan dari kekerasan dan diskriminasi, hak sipil anak, hak kesehatan, hak pendidikan, dan hak sosial anak.Dengan perubahan usia itu diharapkan laju kelahiran yang lebih rendah dan menurunkan risiko kematian ibu dan anak serta dapat terpenuhinya hak-hak anak sehingga mengoptimalkan tumbuh kembang anak.Pertimbangan itu juga berkaitan pendampingan orang tua serta memberikan akses anak terhadap pendidikan setinggi mungkin. Tingginya kasus perceraian dini di Blitar ini masih menjadi pekerjaan rumah bagi pemerintah tahun depan untuk memikirkan solusinya.",-1
"Menteri Pariwisata dan Ekonomi Kreatif, Sandiaga Salahuddin Uno menyebut akan membantu mempromosikan keberadaan Museum Subak yang ada di Desa Banjaranyar, Kecamatan Kediri, Tabanan, Bali.""Kami akan membantu promosi dalam bentuk konten ilustrasi disandingkan dengan koleksi museum subak supaya semakin meningkat kunjungan wisatawan,"" kata Sandiaga saat berkunjung ke Museum Subak, Sabtu (31/12/2022).Menurutnya, upaya promosi bisa juga dilakukan dengan menambah atraksi budaya. Terlebih, Museum Subak merupakan etalase kearifan lokal Bali di bidang kebudayaan sekaligus pertanian.
    
  
        
  ""Karena ini sebuah kearifan lokal yang masih sangat kental dan relevan di masa kini. Di mana kita masih memerlukan kedaulatan pangan,"" sebutnya.Apalagi, lanjutnya, subak telah ditetapkan sebagai Warisan Budaya Dunia pada 2012 oleh UNESCO. ""Kami akan mendorong lebih banyak kunjungan wisatawan, khususnya wisata edukasi, tentang pengelolaan sistem pengairan yang dikelola subak ini,"" kata Sandiaga.Ia berharap, keberadaan Museum Subak bisa menjadi inspirasi bagi daerah lainnya dalam urusan pertanian. ""Yang sudah go global tapi masih memiliki kearifan lokal,"" pungkasnya.",1
"Hidup berpoligami ternyata tak seindah bayangan. Hal itu tergambar dari kehidupan seorang pria di Uganda yang memiliki 12 istri dan 102 anak, ujung-ujungnya ia kebingungan membiayai keluarganya yang luar biasa tersebut.Musa (67), hanyalah seorang petani. Ia mengaku kesulitan ekonomi dan kapok memiliki anak lagi yang sebelumnya telah melebihi angka 100.""Aku tidak dapat mentolerir punya anak lagi karena sumber daya yang terbatas. Dan karena itulah aku menyarankan semua istriku yang masih usia subur untuk melakukan minum pil KB,"" kata Musa, seperti dikutip Wolipop dari Daily Star.
    
  
        
  Musa tampaknya sudah menjalani asam garam kehidupannya selama berpoligami, dia kini melarang pria lain menjalani rumah tangga seperti dirinya.""Aku melarang mereka yang ingin menikah lebih dari empat istri, tidak perlu dilakukan hal ada hal-hal yang tidak baik,"" ucap Musa.Musa kini tinggal di sebuah kompleks yang memiliki 12 kamar tidur di Bugsia, Uganda. Keluarga Musa pun kini berkembang begitu besar hingga memiliki cucu 568 cucu.Dia mengatakan meski bisa membedakan anak dan cucunya, tapi dia tidak ingat semua namanya. Bagaimana tidak, ada ratusan orang ada di rumah Musa, meski satu keluarga, namun jumlahnya terlalu besar.Musa menikahi istri pertamanya pada tahun 1971 di usia 16 tahun setelah berhenti sekolah. Dia menjadi ayah dua tahun kemudian.Sebagai kepala desa dan pengusaha, dia memutuskan untuk menambah istri. Kala itu, Musa masih memiliki banyak uang sehingga dia merasa mampu hidup dengan beberapa istri.""Aku memastikan cangkul telah disediakan bagi masing-masing untuk mengolah tanah dan menghasilkan makanan yang cukup,"" katanya.Namun kini dia meminta bantuan pemerintah untuk kelangsungan hidup keluarganya. Musa tidak mampu lagi menyekolahkan anaknya.",-1
"Presiden Joko Widodo (Jokowi) menerbitkan Peraturan Pemerintah Pengganti Undang-Undang (Perppu) Nomor 2 Tahun 2022 tentang Cipta Kerja. Usai Perppu diterbitkan, muncul pro dan kontra.Jokowi mengungkapkan alasan Perppu Cipta Kerja diterbitkan. Kondisi global yang tidak menentu disebutnya menjadi pertimbangan menerbitkan Perppu itu.""Jadi memang kenapa perppu, kita tahu kita ini kelihatannya normal tapi diintip oleh ancaman-ancaman ketidakpastian global, saya sudah berkali-kali menyampaikan beberapa negara yang menjadi pasiennya IMF, 14. Yang 28 ngantre di depan pintunya IMF untuk juga menjadi pasien,"" kata Jokowi di Istana Negara, Jakarta Pusat, Jumat (30/12).
    
  
        
  Jokowi mengatakan dunia sedang tidak baik-baik saja. Dia menegaskan Perppu Cipta Kerja dikeluarkan untuk menjawab kepastian hukum.""Kemudian sebetulnya dunia tidak sedang baik-baik saja, ancaman-ancaman, risiko ketidakpastian itulah yang menyebabkan kita mengeluarkan perppu karena itu untuk memberikan kepastian hukum, kekosongan hukum yang dalam persepsi investor, baik dalam maupun luar. Sebetulnya itu, yang paling penting karena ekonomi di 2023 akan sangat tergantung pada investasi dan ekspor,"" ujar Jokowi.Pusat Studi Hukum dan Kebijakan (PSHK) Indonesia mengkritik pemerintah yang menerbitkan Peraturan Pemerintah Pengganti Undang-Undang (Perppu) nomor 2 tahun 2022 tentang Cipta Kerja (Ciptaker). PSHK meminta DPR menolak Perppu Ciptaker tersebut.Direktur Eksekutif PSHK Gita Putri awalnya mempertanyakan dasar penerbitan Perppu Ciptaker. Dia mengatakan pemerintah membuat alasan yang mengada-ada soal penerbitan Perppu ini.""Menurut Pemerintah, kehadiran Perppu Ciptaker telah memenuhi syarat dibentuknya sebuah Perppu yakni adanya kebutuhan mendesak dan kekosongan hukum. Pernyataan ini tidak berdasar dan patut dipertanyakan logikanya, mengingat MK dalam Putusan 91/PUU-XVIII/2020 mensyaratkan UU Ciptaker untuk diulang proses pembentukannya dengan memerhatikan salah satunya mengenai partisipasi yang bermakna. Penerbitan Perppu adalah seperti siasat sehingga secara keseluruhan seolah mengkhianati amanah MK demi mengakali syarat partisipasi bermakna ini,"" kata Gita kepada wartawan, Sabtu (31/12).Dia mengatakan penerbitan Perppu Ciptaker merupakan bukti pemerintah tidak menjadikan publik sebagai mitra dalam penyusunan produk legislasi. Dia juga menuding penerbitan perppu itu menunjukkan pemerintah dalam posisi tidak seimbang dalam perencanaan, penyusunan dan pembahasan produk hukum.""Terlihat bahwa ada perbedaan dalam pelibatan pihak-pihak terdampak dalam proses legislasi. Contohnya bisa dilihat dari penyusunan Omnibus Cipta Kerja di tahun 2019 hingga KUHP di tahun 2022. Hanya mereka yang memiliki kepentingan sama dengan Pemerintah yang mendapat karpet merah mendapat panggung untuk didengar. Namun kelompok buruh, kelompok disabilitas, kelompok minoritas agama, kelompok minoritas seksual, serta kelompok masyarakat rentan lainnya justru terdiskriminasi dengan tidak mendapat ruang dan pelibatan secara aktif dalam penyusunan produk hukum tersebut,"" ujarnya.Gita juga menilai ada ketidakjelasan soal kedaruratan untuk membuat Perppu. Menurutnya, tak ada kekosongan hukum yang terjadi usai putusan Mahkamah Konstitusi (MK) terhadap uji materi UU Ciptaker.""Justru mandat dari putusan MK untuk menyusun ulang UU Omnibus Cipta Kerja tersebut malah secara aktif diabaikan oleh Pemerintah dengan keluarnya Perppu ini. Argumentasi kepentingan ekonomi dalam penerbitan Perppu Cipta Kerja ini juga memberikan kode yang membingungkan bagi publik. Apabila ada kebutuhan pengencangan anggaran karena potensi ekonomi yang memburuk, mengapa justru ada pengeluaran uang dengan skala masif, misalnya untuk membangun IKN dan memaksakan pembentukan UU IKN,"" ujarnya.Dia menganggap pemerintah abai terhadap partisipasi publik. Dia juga menuding Perppu Ciptaker sebagai wujud ruang gelap legislasi karena dokumen Perppu Ciptaker belum dipublikasi.""Di samping banyaknya pertanyaan dan polemik yang ditimbulkan dari penerbitan Perppu Ciptaker, celakanya sampai dengan rilis ini disusun dokumen Perppu Ciptaker belum dapat diakses. Hal itu menguatkan kesan bahwa Pemerintah semakin menarik proses pembentukan peraturan perundang-undangan ke ruang gelap. Padahal prinsip transparansi adalah prasyarat terbukanya ruang partisipasi yang bermakna,"" ujarnya.Gita pun meminta DPR menolak Perppu Cipta Kerja itu karena telah mengabaikan putusan MK. Berikut tiga poin tuntutan PSHK terkait Perppu Ciptaker:1. DPR untuk menolak Perppu Nomor 2 Tahun 2022 tentang Cipta Kerja karena telah mengabaikan Putusan MK 91/PUU-XVIII/2020;2. Presiden dan DPR harus melakukan pembahasan kembali UU Ciptaker sebagaimana amanat UU MK 91/PUU-XVIII/2020 dengan menghadirkan ruang partisipasi masyarakat yang bermakna dalam prosesnya; dan3. Presiden dan DPR untuk menghentikan praktik ugal-ugalan dalam proses legislasi dan kembali pada asas-asas pembentukan peraturan perundang-undangan yang baik.",0
"Cristiano Ronaldo resmi bergabung ke klub sepak bola Arab Saudi Al-Nassr. Gajinya pun tak main-main, yakni mencapai 200 juta euro atau Rp 3,3 triliun.Mengutip dari NBC Sports, gaji Ronaldo tersebut sudah termasuk kesepakatan komersial dan diyakini menjadi gaji tertinggi dalam sejarah sepakbola. Lantas siapa pemilik klub sepak bola Al-Nassr yang berani menggaji Cristiano Ronaldo?Mengutip dari firstsportz, Sabtu (31/12/2022) Klub sepak bola itu didirikan oleh Zeid Bin Mutlag pada 1955 dan baru menjadi profesional pada 1960. Klub ini memiliki sistem presidensial dan sering dikelola oleh pangeran dan syekh Saudi.
    
  
        
  Presiden pertama Al-Nassr adalah Abdul Rahman bin Saud Al Saud adalah presiden klub yang pertama. Tetapi saat ini klub sepak bola tempat Cristiano Ronaldo bergabung dipimpin oleh Musalli Al-Muammar, yang terpilih pada 2021 lalu.Dikutip dari Arabnews, Al-Muammar menggantikan pimpinan klub sebelumnya Safwan Al-Suwaiket. Presiden sebelumnya itu telah dicopot oleh Kementerian Olahraga Saudi karena dianggap salah dalam mengurus klub.Dengan tidak adanya kandidat lain yang bergabung dalam pemilihan, Al-Muammar dinominasikan sebagai presiden baru oleh Pangeran Khalid bin Fahd bin Abdulaziz.Al-Muammar meraih gelar sarjana di bidang keuangan dari King Fahd University of Petroleum and Minerals di Dhahran, dan gelar master di bidang komunikasi pemasaran dari Manchester Metropolitan University.Latar belakang kariernya memang di dunia persepakbolaan. Ia mendapatkan master eksekutif global dalam hukum olahraga internasional dari Institut Hukum dan Ekonomi Tinggi di Spanyol.Sebelumnya Al-Muammar juga pernah menjabat sebagai Kepala Departemen Pemasaran dan Komunikasi di Dhahran Techno Valley King Fahd University antara 2013 dan 2018. Kemudian pernah menjadi manajer komunikasi korporat di Saudi Telecom Co. dari 2008 hingga 2013.Sempat juga menjabat sebagai Direktur Penyuntingan surat kabar Syam antara tahun 2005 dan 2007. Al-Muammar pernah bekerja sebagai analis berita olahraga di Al Arabiya News Channel selama lebih dari tujuh tahun. Lalu, ia juga merupakan kolumnis olahraga mingguan untuk surat kabar Asharq Al-Awsat antara 2007 dan 2017.",1
"Menteri Pariwisata dan Ekonomi Kreatif (Menparekraf) Sandiaga Salahuddin Uno menyebut jumlah wisatawan yang berlibur ke Bali sepanjang 2022 mencapai 2,2 juta orang. Jumlah tersebut melampaui target yang ditetapkan pemerintah yakni 1,5 juta orang.""Tercapai dengan 2,2 juta. Astungkara, jadi dari pariwisata dan UMKM-nya target terlampaui signifikan,"" kata Sandiaga usai menyambut kedatangan wisatawan pertama di Bandara I Gusti Ngurah Rai, Minggu (01/01/2023) dini hari.Sandiaga mengungkapkan, Indonesia menargetkan bisa mendatangkan wisatawan sebanyak 7,4 juta pada 2023. Adapun target untuk Bali tahun ini adalah sebanyak 4 juta wisatawan.
    
  
        
  ""Optimis 2023 tahun kebangkitan kita,"" imbuhnya.Sementara itu, Wakil Gubernur Bali Tjokorda Oka Artha Ardana Sukawati mengungungkapkan target 4 juta wisatawan yang ditetapkan pemerintah pusat untuk Bali merupakan tantangan tersendiri. Pria yang akrab disapa Cok Ace itu mengaku optimis bisa mendatangkan lebih banyak wisatawan pada 2023.""Ke depannya di 2023, dengan dibukanya beberapa destinasi baru kami harapkan apa yang ditargetkan oleh pusat 4 juta itu dapat tercapai, itu resolusinya,"" kata Cok Ace kepada wartawan di Bandara I Gusti Ngurah Rai, Minggu (1/1/2023) dini hari.Cok Ace menambahkan, tantangan berikutnya bagi pariwisata Bali saat ini adalah sebaran wisatawan yang belum merata atau masih numpuk di Bali selatan.""Kami mendorong sebaran wisatawan yang lebih banyak di Bali Selatan agar bisa menyebar ke Bali Timur, Bali Utara,"" imbuhnya.Ia mengaku merasa terbantu dengan antusiasme wisatawan domestik yang berkunjung ke Bali saat libur akhir tahun. Terlebih, mereka menggunakan kendaraan pribadi dan singgah di beberapa lokasi wisata di kawasan Bali Utara.""Singaraja cukup bagus diisi oleh teman-teman wisatawan domestik yang menggunakan kendaraan pribadi,"" pungkasnya.",1
"Menteri Pariwisata dan Ekonomi Kreatif (Menparekraf) Sandiaga Salahuddin Uno optimis bisa mendatangkan 7,4 juta wisatawan mancanegara (wisman) pada 2023. Terlebih, pemerintah telah mencabut Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) pada Jumat (30/12/2022).""Itu akan bisa diwujudkan di tahun depan (2023),"" kata Sandiaga seusai berdialog dengan lebih dari 20 investor asing di Puri Anyar Kerambitan, Kabupaten Tabanan, Bali, Sabtu (31/12/2022).Menurut Sandiaga, pencabutan status PPKM tersebut akan berdampak besar terhadap perekonomian, termasuk sektor pariwisata. Ia berharap target 1,4 miliar kunjungan wisatawan nusantara dan 7,4 juta wisman bisa diwujudkan pada 2023. ""Setengahnya ini akan ada di Bali,"" imbuhnya.
    
  
        
  Sandiaga menambahkan, pencabutan PPKM juga menambah optimisme untuk merealisasikan target 4,4 juta lapangan pekerjaan baru dari sektor pariwisata dan ekonomi kreatif. Berbagai kegiatan masyarakat kini juga sudah bisa dilaksanakan secara normal.""Event akhir tahun ini bisa digelar, konser musik juga, kegiatan budaya atau olahraga,"" ujar Sandiaga.Sandiaga menjelaskan, salah satu upaya pemerintah untuk menggaet investasi di bidang pariwisata dan ekonomi kreatif adalah dengan meluncurkan Golden Visa dalam waktu dekat. Golden visa adalah program imigrasi yang memungkinkan orang kaya untuk mendapatkan izin tinggal atau kewarganegaraan di negara lain hanya dengan membeli rumah di sana, melakukan investasi, atau sumbangan yang relatif besar.""Untuk menarik lebih banyak investor dan talenta-talenta digital, teknologi tinggi, atau investor di bidang pariwisata dan ekonomi kreatif ke Bali dan juga destinasi utama lainnya,"" kata Sandiaga.Hal itu juga sebagai jawaban atas pertanyaan-pertanyaan yang muncul saat ia berdialog dengan lebih dari 20 orang investor asing di kesempatan tersebut. Sandiaga menyebut, 20 orang lebih investor asing ini sudah menanamkan dan akan menambah investasinya di Bali. Ia menegaskan investasi asing ini harus tetap menjaga kearifan lokal yang ada.Bali Ditarget 4 Juta WisatawanPada kesempatan yang lain, Menparekraf Sandiaga Salahuddin Uno menyebut Bali ditargetkan bisa mendatangkan 4 juta wisatawan pada 2023. Menurutnya, wisatawan yang berlibur ke Bali sepanjang 2022 mencapai 2,2 juta orang atau melampaui target yang ditetapkan pemerintah yakni 1,5 juta orang.""Tercapai dengan 2,2 juta. Astungkara, jadi dari pariwisata dan UMKM-nya target terlampaui signifikan,"" kata Sandiaga usai menyambut kedatangan wisatawan pertama di Bandara I Gusti Ngurah Rai, Minggu (1/1/2023) dini hari.Wakil Gubernur Bali Tjokorda Oka Artha Ardana Sukawati atau yang akrab disapa Cok Ace mengaku optimis bisa mendatangkan 4 juta wisatawan pada 2023 sebagaimana ditargetkan pemerintah pusat. Terlebih dengan dibukanya beberapa destinasi baru di Bali.""Ke depannya di 2023, dengan dibukanya beberapa destinasi baru kami harapkan apa yang ditargetkan oleh pusat 4 juta itu dapat tercapai, itu resolusinya,"" kata Cok Ace kepada wartawan di Bandara I Gusti Ngurah Rai, Minggu (1/1/2023) dini hari.Cok Ace mengakui sebaran wisatawan yang datang ke Bali belum merata. Kebanyakan wisatawan masih menumpuk di Bali selatan.Meski begitu, ia mengaku terbantu dengan antusiasme wisatawan domestik yang berlibur ke Bali saat libur akhir tahun. Terlebih, mereka menggunakan kendaraan pribadi dan singgah di beberapa lokasi wisata di kawasan Bali Utara.""Singaraja cukup bagus diisi oleh teman-teman wisatawan domestik yang menggunakan kendaraan pribadi,"" pungkasnya.",1
"Presiden Joko Widodo (Jokowi) telah menerbitkan Perppu Cipta Kerja. Perppu tersebut dikeluarkan pada 30 Desember 2022.Salinan isi lengkap Perppu Cipta Kerja itu kini sudah terbit. Perppu itu berisi 1.117 halaman dan 186 pasal. Perppu Cipta Kerja itu diundangkan di hari yang sama saat dikeluarkan, yakni 30 Desember 2022.""Dan hari ini telah diterbitkan Perppu Nomor 2 Tahun 2022 dan tertanggal 30 Desember 2022,"" ujar Menko Perekonomian Airlangga Hartarto di Istana Kepresidenan, Jakarta, Jumat (30/12/2022).
    
  
        
  Jokowi sudah menghubungi Ketua DPR Puan Maharani mengenai Perppu ini. Airlangga menegaskan Perppu ini sesuai dengan peraturan perundang-undangan.""Dan tadi Bapak Presiden telah berkonsultasi dan sudah berbicara dengan Ketua DPR. Pada prinsipnya Ketua DPR sudah terinformasi mengenai Perppu tentang Cipta Kerja. Dan ini berpedoman pada peraturan perundang-undangan dan putusan Mahkamah Konstitusi,"" ujar Airlangga.Alasan Perppu Cipta Kerja DikeluarkanJokowi mengungkapkan alasan Perppu Cipta Kerja diterbitkan. Kondisi global yang tidak menentu disebutnya menjadi pertimbangan menerbitkan Perppu itu.""Jadi memang kenapa perppu, kita tahu kita ini kelihatannya normal tapi diintip oleh ancaman-ancaman ketidakpastian global, saya sudah berkali-kali menyampaikan beberapa negara yang menjadi pasiennya IMF, 14. Yang 28 ngantre di depan pintunya IMF untuk juga menjadi pasien,"" kata Jokowi di Istana Negara, Jakarta Pusat, Jumat (30/12).Jokowi mengatakan dunia sedang tidak baik-baik saja. Dia menegaskan Perppu Cipta Kerja dikeluarkan untuk menjawab kepastian hukum.""Kemudian sebetulnya dunia tidak sedang baik-baik saja, ancaman-ancaman, risiko ketidakpastian itulah yang menyebabkan kita mengeluarkan perppu karena itu untuk memberikan kepastian hukum, kekosongan hukum yang dalam persepsi investor, baik dalam maupun luar. Sebetulnya itu, yang paling penting karena ekonomi di 2023 akan sangat tergantung pada investasi dan ekspor,"" ujar Jokowi.Simak isi lengkap Perppu Cipta Kerja yang berisi 1.117 halaman di bawah ini:Salinan Perpu Nomor 2 Tahun 2022-1",0
"Indonesia sudah memasuki Tahun Baru 2023. Semua pihak, termasuk partai politik, memiliki resolusi yang akan dikejar pada 2023 ini.Partai Kebangkitan Bangsa (PKB), lewat Wakil Ketua Umumnya Jazilul Fawaid, menyampaikan resolusinya untuk 2023. Dia awalnya membahas terkait dinamika yang terjadi di 2022.""Kita tinggalkan tahun 2022 dengan seluruh dinamika ekonomi dan politik, utamanya dampak COVID-19. Pemerintah sudah memberhentikan PPKM yang cukup merepotkan gerak pembangunan,"" kata Jazilul saat dihubungi, Minggu (1/1/2023).
    
  
        
  Dia mengatakan pada 2023 ini Indonesia akan berada pada tahun politik. Menurutnya, dinamika dan tensi politik di 2023 akan lebih tinggi dari pada 2022.""Kita masuk gerbang tahun 2023 yang kita sebut tahun politik sebab seluruh tahapan Persiapan Pemilu akan dan sedang dirancang, sejak pengumuman kontestan Pemilu, penetapan jumlah DPT, pembagian dapil dan kursi, pendaftaran dan penetapan bakal calon Pileg dan Pilpres. Tentunya dinamika dan tensi politik tahun 2023 akan meningkat dan menanjak,"" ucapnya.Anggota Komisi III DPR ini lantas menyampaikan resolusi PKB di 2023. Dia menyebut pihaknya akan fokus menjadikan Ketumnya Cak Imin capres hingga mengejar 100 kursi parlemen.""PKB sebagai peserta pemilu nomer urut satu, akan bersiap untuk menjalankan program dan strategi pemenangan baik pilpres maupun pileg. Dalam Pilpres PKB mengawal mandat agar Gus Muhaimin maju menjadi Capres dan dalam pileg menarget 100 kursi di parlemen,"" ujar dia.""Target tersebut menjadi dasar dalam menyusun resolusi PKB tahun 2023. Tema perjuangan PKB 2023 adalah politik kesejahteraan,"" lanjutnya.Selain itu, PKB juga akan mendorong agar sembako tetap murah dan stabil di 2023. Kemudian, sektor pertanian dan pendidikan bisa terjangkau serta berjalan baik.""PKB mendorong agar tahun 2023 sembako tetap murah dan stabil, pupuk untuk petani tersedia, pendidikan yang terjangkau dan bermutu, dan dunia usaha utamanya anak muda berkembang,"" ujarnya.",0
"Definisi zakat secara bahasa dalam buku Zakat, Infak, Sedekah oleh Gus Arifin adalah berkah, tumbuh, suci, baik, dan bersihnya sesuatu. Sementara zakat menurut istilah fikih yaitu hak yang telah ditentukan kadarnya yang wajib dikeluarkan pada harta-harta tertentu.Perintah zakat termaktub dalam sejumlah ayat Al-Qur'an, di antaranya dalam surah Al-Baqarah ayat 43:ÙÙØ§ÙÙÙÙÙÙÙÙØ§ Ø§ÙØµÙÙÙÙ°ÙØ©Ù ÙÙØ§Ù°ØªÙÙØ§ Ø§ÙØ²ÙÙÙÙ°ÙØ©Ù ÙÙÙ±Ø±ÙÙÙØ¹ÙÙØ§Û ÙÙØ¹Ù Ù±ÙØ±ÙÙÙ°ÙÙØ¹ÙÙÙÙArab Latin: Wa aqÄ«muá¹£-á¹£alÄta wa Ätuz-zakÄta warka'á»¥ ma'ar-rÄki'Ä«nArtinya: Dan dirikanlah shalat, tunaikanlah zakat dan ruku'lah beserta orang-orang yang rukuk.Lalu, apa fungsi zakat dalam ekonomi Islam?Melansir buku Handbook Zakat oleh Tika Widiastuti dkk, terdapat 82 ayat Al-Qur'an yang memerintahkan zakat dan disandingkan dengan shalat. Banyaknya ayat Al-Qur'an yang mensejajarkan zakat dan shalat ini menandakan bahwa keduanya memiliki keterkaitan yang erat. Sebagaimana sholat merupakan ibadah yang utama, disyariatkannya zakat juga sebagai bentuk kepedulian terhadap kondisi masyarakat sekitar.Buku tersebut juga menjelaskan, zakat dalam sistem ekonomi Islam memiliki fungsi utama dalam pendistribusian harta kekayaan. Artinya, harta seseorang dari kalangan yang mampu diberikan kepada mereka yang kurang mampu untuk memenuhi kebutuhan hidup.Selain itu zakat juga mampu memelihara keberlangsungan perekonomian masyarakat bila dikelola dengan baik. Dengan begitu zakat bisa meminimalisir angka kemiskinan dan mengurangi kesenjangan antara golongan kaya dan miskin.Zakat dalam Islam ada yang bersifat wajib maupun ada yang dianjurkan, melansir buku Fiqih oleh Hasbiyallah. Untuk yang wajib, umat muslim mengenalnya dengan zakat fitrah. Zakat jenis ini diharuskan bagi tiap-tiap muslim laki-laki maupun perempuan, baik anak kecil, remaja hingga dewasa.Sementara itu, zakat yang dianjurkan adalah zakat mal. Sebab pada hakikatnya harta adalah titipan dari Allah SWT, untuk itu seorang hamba harus mengeluarkan harta melalui jalan yang diridhai oleh-Nya seperti dengan berzakat.Zakat mal dianjurkan bagi mereka yang memiliki sejumlah harta yang dilebihkan oleh Allah, dan yang telah memenuhi sejumlah syarat yang ditentukan oleh ajaran Islam, seperti zakat kepemilikan emas dan perak, zakat hewan ternak, zakat pertanian, dan lainnya.",0
