Date;text;Sentiment;label
2024-01-10 22:14;slepet gus imin, diskusi cerdas dan pedas untuk indonesia maju;Positive;1
2024-01-10 03:00;nassar ngaku kaget saat diajak selfie anies baswedan;Positive;1
2024-01-03 07:08;park ahn nice trending di x, ternyata nama korea anies baswedan;Negative;-1
2023-12-22 07:30;anies baswedan disambut meriah di gor maulana yusuf serang;Positive;1
2023-12-19 11:44;anies baswedan dapat dukungan megawati;Positive;1
2023-12-12 20:52;anies-muhaimin paslon terakhir yang tiba di lokasi debat pilpres 2024;Positive;1
2023-12-05 21:28;diusul jadi ketua tkd anies-muhaimin kota kendari, subhan: tinggal tunggu sk;Positive;1
2023-11-27 17:57;anies: integritas pemilu bukan dilihat dari pakta, tapi fakta;Positive;1
2023-11-25 16:48;anies baswedan ajak relawan amin bersatu untuk perubahan indonesia;Positive;1
2023-11-22 08:43;relawan amin 2024 yakin ahmad ali bisa menangkan anies-muhaimin;Positive;1
2023-11-21 06:00;ali mazi masuk bursa calon ketua tkd anies-muhaimin iskandar di sultra;Positive;1
2023-11-17 19:37;anies baswedan: berikan kebebasan rakyat untuk menentukan pilihan;Positive;1
2023-11-14 23:46;dapat nomor urut 1, muhaimin iskandar: ini pertanda baik;Positive;1
2024-02-10 23:53;anies hadiri deklarasi kemerdekaan pers di dewan pers;Positive;1
2024-02-10 22:09;hari ini merupakan hari terakhir kampanye oleh peserta pemilu termasuk pasangan calon presiden dan wakil presiden. beragam keriuhan terjadi pada kampanye akbar di hari terakhir tersebut.;Negative;-1
2024-02-10 21:08;pemungutan suara pemilu 2024 tinggal menghitung hari. berikut potret elektabilitas ketiga paslon presiden 2024 berdasarkan hasil survei terbaru.;Negative;-1
2024-02-10 20:47;"ketua mpr ri bambang soesatyo mengajak para kontestan politik dan pendukungnya untuk mengakhiri kampanye terbuka dengan tetap menjaga keamanan, ketertiban, dan kedamaian.

ia juga mengimbau untuk menyambut minggu tenang dari tanggal 11-13 februari 2024 dengan kondusif. dengan begitu, warga bisa menggunakan hak pilihnya pada 14 februari 2024 dengan nyaman dan aman.

""hari ini, ketiga pasang capres";Positive;1
2024-02-10 19:32;cak imin: hari ini kita berkumpul di stadion bola je-i-se;Positive;1
2024-02-10 19:14;anies minta maaf atas semua kekurangan kampanye akbar amin di jis;Negative;-1
2024-02-10 15:14;intip arsitektur jis yang jadi tempat kampanye akbar anies-muhaimin;Positive;1
2024-02-10 13:51;lembaga survei indonesia (lsi) menyebut 66,3% responden menginginkan pilpres 2024 berlangsung satu putaran. lsi juga merilis survei prediksi pemenang pilpres.;Negative;-1
2024-02-10 13:36;anies: ada kabar penggiringan opini satu putaran, lawan dengan hati nurani;Positive;1
2024-02-10 13:10;lembaga survei indonesia (lsi) merilis hasil survei elektabilitas capres-cawapres 2024 menjelang pilpres. lsi membuat simulasi surat suara pilpres, seperti apa hasilnya?;Positive;1
2024-02-10 13:08;kampanye akbar pasangan calon presiden dan wakil presiden anies-muhaimin (amin) di jakarta international stadium (jis), jakarta, berakhir. massa terlihat mulai meninggalkan lokasi.;Positive;1
2024-02-10 13:02;potret massa di jis saat anies dan cak imin orasi di kampanye akbar;Positive;1
2024-02-10 12:25;anies: semoga 14 februari kita rayakan hari perubahan indonesia;Positive;1
2024-02-10 11:14;ketua umum partai nasdem surya paloh berpidato di hadapan massa pendukung anies-muhaimin (amin) pada kampanye akbar di jakarta international stadium (jis), jakarta utara. surya paloh mengajak massa yang hadir untuk segera melakukan perubahan.;Positive;1
2024-02-10 09:23;lembaga indikator politik indonesia merilis hasil survei jelang pemungutan suara, di mana prabowo dan gibran menempati urutan pertama, disusul anies-muhaimin (amin) kemudian pasangan nomor urut 3 ganjar dan mahfud md.;Negative;-1
2024-02-10 08:56;survei indikator politik indonesia menunjukkan paslon nomor urut 1, anies baswedan-muhaimin iskandar atau cak imin, berada di posisi kedua.;Negative;-1
2024-02-10 08:06;anies minta kpu netral: bila ini jadi pemilu terburuk, anak-cucu anda malu;Negative;-1
2024-02-10 07:24;paslon nomor urut 1 anies baswedan-muhaimin iskandar menggelar kampanye akbar di jakarta international stadium (jis). stasiun kampung bandan terpantau padat pagi ini.;Positive;1
2024-02-10 06:45;hari pemungutan suara pemilu 2024 semakin dekat. bagaimana kekuatan tiga paslon capres dan cawapres h-4 menjelang pencoblosan?;Positive;1
2024-02-10 01:13;relawan paslon nomor urut 2 prabowo-gibran, gibran center angkat bicara terkait potensi koalisi paslon nomor urut 1, anies-muhaimin, dengan paslon nomor urut 3, ganjar-mahfud. gibran center tetap yakin prabowo-gibran akan menang satu putaran.;Negative;-1
2024-02-10 01:12;ribuan orang hadiri kampanye di tulungagung, anies: bukan massa bayaran;Positive;1
2024-02-09 23:38;cak imin minta maaf usai diprotes doakan syaiful huda jadi mendikbud;Negative;-1
2024-02-09 22:25;timnas amin sebut eks menhan ryamizard ryacudu dukung anies-muhaimin;Positive;1
2024-02-09 21:17;cak imin janji usut tuntas tragedi kanjuruhan jika terpilih jadi wapres;Positive;1
2024-02-09 18:04;politikus pendukung pasangan prabowo subianto dan gibran rakabuming raka, maruarar sirait, menanggapi hasil survei indikator politik di mana paslon nomor urut 2 berada di posisi teratas. maruarar mengatakan salah satu faktornya lantaran tingkat kepuasan terhadap presiden joko widodo (jokowi) yang tinggi.;Negative;-1
2024-02-09 17:19;calon anggota dprd sumatera barat (sumbar) dari daerah pemilihan (dapil) sumbar ii, adrian tuswandi 'hijrah' atau pindah dukungan dari mendukung anies baswedan ke prabowo subianto. adrian mengaku siap dengan konsekuensinya meskipun dia maju sebagai caleg partai ummat.;Negative;-1
2024-02-09 16:49;ketua muslimat nu jabar deklarasi dukung anies-cak imin di pilpres 2024;Positive;1
2024-02-09 16:48;penggemar raja dangdut rhoma irama jawa timur (rhomais) mendeklarasikan dukungan untuk pasangan capres-cawapres nomor urut 1 anies baswedan dan muhaimin iskandar atau cak imin (amin). deklarasi itu dilakukan saat kampanye akbar amin di stadion untung suropati, pasuruan, jawa timur.;Positive;1
2024-02-09 15:58;amin satu-satunya paslon yang kampanye di tulungagung, anies beber alasannya;Positive;1
2024-02-09 15:57;lembaga survei poltracking merilis hasil survei elektabilitas para paslon pilpres 2024. hasilnya, prabowo subianto-gibran rakabuming raka berada di posisi teratas dengan angka 50,9%.;Negative;-1
