Date;text;Sentiment;label
2024-01-27 22:25;5 Tempat Makan Pilihan Ganjar Pranowo Saat Diplomasi Kuliner;Positive;1
2024-01-09 07:37;Marak Penipuan di WA, Mahfud MD Minta OJK Lakukan Ini;Negative;-1
2023-12-27 06:46;Merosotnya Ganjar Pranowo Justru Dimulai Oleh Niat Baik;Negative;-1
2023-12-23 08:59;Tampil Beda, Gaya Ganjar Pranowo  Mahfud MD Pakai Baju Adat di Debat Cawapres;Positive;1
2023-12-13 10:49;Mayjen TNI (Purn) Andi Sumangerukka: Ganjar Pranowo Kuasai Debat, Pilihan Terbaik;Positive;1
2023-12-13 08:45;Putra bungsu cawapres nomor urut 3 Mahfud MD, Royhan Akbar, bergabung nonton bareng debat capres-cawapres;Positive;1
2023-12-12 21:46;Hasto: Megawati berpesan agar Ganjar-Mahfud bicara dengan mata hati;Positive;1
2023-12-07 07:53;Mahfud Md akan berkunjung ke Malaysia pada hari kesepuluh kampanye;Positive;1
2023-12-07 07:53;Hari kesepuluh kampanye, Ganjar Pranowo sambangi IKN;Positive;1
2023-12-03 03:30;Besok, Capres Ganjar Pranowo Kampanye Terbatas di Kota Kendari;Positive;1
2023-11-28 08:43;Komunitas Rekanusa Siap Tempur Jelang Pilpres 2024, Komitmen Menangkan Pasangan Ganjar Mahfud;Positive;1
2023-11-25 18:53;Warga Tana Toraja antusias sambut Ganjar Pranowo;Positive;1
2023-11-24 08:44;Pengasuh Ponpes Nurul Qarnain Jember-Jatim dukung Mahfud Md;Positive;1
2023-11-18 19:37;Mahfud MD ajak masyarakat Madura ciptakan pemilu damai;Positive;1
2023-11-14 14:04;Cawapres Mahfud MD di Mata Insan Pers Pamekasan, Berintegritas Tinggi dan Bersih;Positive;1
2023-11-14 07:40;Kapolres dan Dandim Rembang Gelar  Lewat Motivator Ketut Abid Halimi. Untuk diketahui, bahwa setiap anggota TNI-Polri memiliki tugas berat dalam menjaga keamanan dan pertahanan Negara Kesatuan Republik Indonesia (NKRI);Positive;1
2023-11-13 01:41;Lomba Fashion Batik se Madura, Dua Komunitas Ini Berhasil Membuat H. Slamet Junaidi Tersenyum;Positive;1
2023-11-12 17:25;Menkopolhukam ajak ratusan mahasiswa di Cirebon jaga pemilu damai;Positive;1
2023-11-12 14:02;Lomba Fashion Show Batik Se Madura, ILP dan LB, Melibatkan Peserta dari OPD ;Positive;1
2023-11-12 01:11;Buka Workshop Digital, Dzulkarnain Jamil : Tingkatkan Literasi Menuju Pendidik yang ;Positive;1
2023-11-11 22:33;Dilantik Sebagai Kasatkorcab, Gus Syef : Banser Lebih Baik dan Mengabdi Untuk NU;Positive;1
2023-11-10 08:13;Mahfud MD: Pemilu Menghindarkan Orang Jahat Menjadi Pemimpin Kita;Negative;-1
2024-02-10 23:44;3 Janji Ganjar-Mahfud Jika Terpilih Pimpin RI;Positive;1
2024-02-10 23:07;"Tim Pemenangan Nasional (TPN) Ganjar-Mahfud menargetkan 70 persen suara buruh masuk ke kantong paslon nomor urut 3, Ganjar Pranowo-Mahfud Md.

""Kami targetkan 70 persen suara buruh akan dikantongi pasangan Ganjar-Mahfud,"" kata Andi Gani dalam keterangannya, Sabtu (10/2/2024).

Andi Gani menyebut ribuan massa buruh dari Jawa Tengah, Bandung, hingga Surabaya juga hadir saat Ganjar-Mahfud kampanye akbar penutup bertajuk 'Hajatan Rakyat' di Lapangan Pancasila, Simpang Lima, Semarang, Jawa Tengah, pada Sabtu (10/2) tadi. Menurutnya, itu tanda Ganjar-Mahfud yang dianggap berpihak bagi kaum buruh.

Kemudian, Andi Gani juga mengatakan selama blusukan ke kawasan-kawasan industri dan door to door ke perumahan warga, banyak masyarakat yang mengapresiasi program-program prioritas Ganjar-Mahfud. Misalnya, program satu keluarga miskin satu sarjana, SMK gratis langsung kerja untuk keluarga miskin, membuka 17 juta lapangan kerja di seluruh Indonesia, buruh naik kelas, internet super cepat gratis dan merata, serta KTP Sakti.

""Ganjar-Mahfud pasti akan menepati janji kampanyenya untuk berpihak dan adil terhadap buruh. Ditambah keinginan Pak Ganjar untuk merevisi UU Cipta Kerja menambah barisan panjang buruh yang mendukung Ganjar-Mahfud,"" ujarnya.

Andi Gani yakin dengan kerja keras buruh, partai pendukung dan seluruh relawan, Ganjar-Mahfud akan mendapatkan suara signifikan.";Positive;1
2024-02-10 22:07;Ketua TPN Ganjar-Mahfud, Arsjad Rasjid, mengaku optimistis pasangan nomor urut 3 Ganjar Pranowo-Mahfud Md dapat memenangkan Pilpres 2024 satu putaran.;Positive;1
2024-02-10 21:31;Ketua DPP PDIP Puan Maharani menanggapi Polikus PDIP Basuki Tjahaja Purnama atau Ahok yang memilih menjadi Jaksa Agung atau Menteri Keuangan ketimbang Ketua KPK. Puan menuturkan jabatan merupakan hak prerogatif Ganjar Pranowo jika jadi presiden.;Negative;-1
2024-02-10 21:17;Mahfud Bacakan Maklumat Janji dan Solusi Ganjar-Mahfud di Semarang;Positive;1
2024-02-10 21:08;"Pemungutan suara Pemilu 2024 tinggal menghitung hari. Berikut potret elektabilitas ketiga paslon presiden 2024 berdasarkan hasil survei terbaru.

Dirangkum detikcom, Sabtu (10/2/2024), mayoritas lembaga survei menunjukkan elektabilitas paslon nomor urut 2, Prabowo Subianto dan Gibran Rakabuming Raka unggul dibandingkan dua paslon lainnya.

Sementara paslon nomor urut 1 Anies Baswedan dan Muhaimin Iskandar (Cak Imin) berada di posisi kedua. Di urutan buncit ialah paslon nomor urut 3 Ganjar Pranowo dan Mahfud MD. Berikut rangkumannya:

Lembaga Survei Indonesia

Lembaga Survei Indonesia (LSI) merilis hasil survei elektabilitas capres-cawapres 2024 menjelang pilpres. LSI membuat simulasi surat suara pilpres.

Survei dirilis Direktur Eksekutif LSI Djayadi Hanan di Double Tree Hotel Cikini, Jakarta Pusat, Sabtu (10/2/2024). Survei ini menggunakan metode multistage random sampling dengan responden 1.220.

Margin of error dari ukuran sampel tersebut sebesar +/- 2,9 persen pada tingkat kepercayaan 95 persen (dengan asumsi simple random sampling). Survei dilakukan pada 29 Januari hingga 5 Februari 2024. Responden terpilih diwawancarai lewat tatap muka oleh pewawancara yang telah dilatih.

Dalam survei simulasi surat suara pilpres, responden diberi pertanyaan 'Jika pemilihan presiden diadakan sekarang, siapa yang akan Ibu/Bapak pilih sebagai Presiden dan Wakil Presiden di antara pasangan nama berikut ini?'.

Berikut hasilnya:

01. Anies Baswedan-Muhaimin: 23,3%

02. Prabowo Subianto-Gibran Rakabuming: 51,9%

03. Ganjar Pranowo-Mahfud Md: 20,3%

Tidak tahu/tidak jawab: 4,4%.

LSI juga menanyakan responden dengan simulasi tertutup dua pasangan. Dalam survei ini, Prabowo-Gibran akan unggul melawan Anies-Muhaimin atau Ganjar-Mahfud.";Negative;-1
2024-02-10 20:47;Ketua MPR RI Bambang Soesatyo mengajak para kontestan politik dan pendukungnya untuk mengakhiri kampanye terbuka dengan tetap menjaga keamanan, ketertiban, dan kedamaian.;Positive;1
2024-02-10 20:42;Dewan Pers bersama segenap masyarakat pers akan melakukan 'Deklarasi Kemerdekaan Pers' di Hall Dewan Pers, Jakarta Pusat. Dewan pers turut mengundang pasangan capres-cawapres untuk melakukan deklarasi tersebut.;Positive;1
2024-02-10 18:53;Capres nomor urut 3 Ganjar Pranowo mengatakan dirinya dan Mahfud Md akan menutup proses kampanye di Semarang, Jawa Tengah. ;Positive;1
2024-02-10 18:19;Mahfud Akan Umrah di Masa Tenang Kampanye Pemilu 2024;Positive;1
2024-02-10 18:07;Ganjar Tak Pernah Kampanye ke Sumbar, Pakar Unand Nilai Begini;Negative;-1
