Date;text;Sentiment;label
2024-01-29 23:11;Kelompok Nelayan Perisai Prabowo Sumatera Utara Targetkan Menang Prabowo Gibran;Positive;1
2024-01-28 19:37;Presidium Relawan Prabowo Subianto Gelar Vaksin Hewan Gratis;Positive;1
2024-01-23 01:28;Makna Pin One Piece yang Dikenakan Gibran Rakabuming Raka Saat Debat;Positive;1
2024-01-22 21:33;5 Fakta Lambang Klan Uzumaki Naruto di Jaket Gibran Rakabuming;Positive;1
2024-01-22 15:13;Gibran Rakabuming Pakai Pin Mugiwara One Piece, Ini 3 Faktanya;Positive;1
2024-01-19 08:37;CEK FAKTA: Sindir Prabowo Subianto, Wagub Sulut Klaim Olly yang Bangun Patung Schwartz;Negative;-1
2024-01-15 05:45;Ratusan Muslimah FAHMI UMMI se-Indonesia Deklarasi Dukung Prabowo-Gibran;Positive;1
2024-01-14 05:48;DPC Papera Jakarta Barat Terus Bergerak Menangkan Prabowo;Positive;1
2024-01-14 02:57;Luaar Biasa..! Puluhan Ribu Massa Sambut Kedatangan Prabowo Subianto;Positive;1
2024-01-08 19:10;Ditemani Erick Thohir, Prabowo Sapa Squad Timnas U-20;Positive;1
2023-12-31 14:12;Gibran Rakabuming Meriahkan Jalan Sehat BATFEST 2023;Positive;1
2023-12-22 23:03;CEK FAKTA: Gibran Rakabuming Sebut Hilirisasi Tingkatkan Ekspor hingga 33 Miliar USD;Positive;1
2023-12-19 00:58;DPC Papera Tapanuli Utara Bergerak Untuk Memenangkan Paslon Presiden Prabowo Subianto bersama Gibran Rakabuming Raka di satu putaran;Positive;1
2023-12-18 00:11;Capres Prabowo Subianto Ziarah ke Makam Bung Karno Blitar;Positive;1
2023-12-18 00:06;Peduli Petani, Prabowo Subianto Bakal Sejahterakan Petani;Positive;1
2023-12-15 10:53;Koleksi Kendaraan Capres Termiskin Anies Baswedan vs Capres Terkaya Prabowo Subianto. Anies Baswedan memiliki harta paling sedikit dibandingkan dua capres lainnya. Sementara Prabowo Subianto merupakan capres terkaya.;Negative;-1
2023-12-13 06:36;Sekretaris Tim Kampanye Nasional (TKN) Prabowo-Gibran, Nusron Wahid, menyatakan pihaknya optimistis ;Positive;1
2023-12-10 07:49;Menhan Prabowo Subianto Santuni Korban Erupsi Gunung Marapi Sumbar;Positive;1
2023-12-09 19:50;Menhan Prabowo Subianto Santuni Korban Erupsi Gunung Marapi Sumbar;Positive;1
2023-12-02 14:45;Menhan RI Prabowo Subianto Serahkan 8 Unit Helikopter H225M dan Resmikan Full Flight;Positive;1
2023-11-28 06:57;Srikandi dan Gen Z Papera Aceh Gelorakan Paslon Prabowo Subianto dan Gibran;Positive;1
2023-11-27 17:58;Prabowo-Gibran akan  kampanye di Jabodetabek;Positive;1
2023-11-25 17:26;Nurul Arifin: Prabowo-Gibran berkomitmen tingkatkan martabat guru;Positive;1
2023-11-24 09:31;Survei Voxpopuli: Menguatnya dukungan Prabowo-Gibran dongkrak Gerinda;Positive;1
2023-11-22 14:41;Menteri Pertahanan RI Prabowo Subianto menjenguk Luhut Binsar Pandjaitan (LBP) ;Positive;1
2023-11-22 01:11;"Relawan Prabowo - Gibran Optimistis Menang Satu Putaran 
";Positive;1
2023-11-21 16:35;Abdurrahman Saleh Ditunjuk jadi Ketua TKD Prabowo-Gibran di Sultra;Positive;1
