Date;sentiment;text_clean
2024-01-10 22:14;Positive;Slepet Gus Imin, Diskusi Cerdas dan Pedas untuk Indonesia Maju
2024-01-10 03:00;Positive;Nassar Ngaku Kaget saat Diajak Selfie Anies Baswedan
2024-01-03 07:08;Negative;Park Ahn Nice Trending di X, Ternyata Nama Korea Anies Baswedan
2023-12-22 07:30;Positive;Anies Baswedan Disambut Meriah Di Gor Maulana Yusuf Serang
2023-12-19 11:44;Positive;Anies Baswedan Dapat Dukungan Megawati
2023-12-12 20:52;Positive;Anies-Muhaimin paslon terakhir yang tiba di lokasi debat Pilpres 2024
2023-12-05 21:28;Positive;Diusul Jadi Ketua TKD Anies-Muhaimin Kota Kendari, Subhan: Tinggal Tunggu SK
2023-11-27 17:57;Positive;Anies: Integritas pemilu bukan dilihat dari pakta, tapi fakta
2023-11-25 16:48;Positive;Anies Baswedan ajak relawan AMIN bersatu untuk perubahan Indonesia
2023-11-22 08:43;Positive;Relawan Amin 2024 yakin Ahmad Ali bisa menangkan Anies-Muhaimin
2023-11-21 06:00;Positive;Ali Mazi Masuk Bursa Calon Ketua TKD Anies-Muhaimin Iskandar di Sultra
2023-11-17 19:37;Positive;Anies Baswedan: Berikan kebebasan rakyat untuk menentukan pilihan
2023-11-14 23:46;Positive;Dapat Nomor Urut 1, Muhaimin Iskandar: Ini Pertanda Baik
2024-02-10 23:53;Positive;Anies Hadiri Deklarasi Kemerdekaan Pers di Dewan Pers
